loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,purpose,dti,delinq_2yrs,fico_range_high,revol_util,total_acc,loan_status
19431,60 months,21.95,A,7 years,OWN,42749.0,home_improvement,28.42,0,788,42.03,48,Fully Paid
3747,60 months,27.06,E,4 years,OTHER,146029.56,other,7.23,2,768,1.94,18,Fully Paid
1189,60 months,10.87,C,1 year,OTHER,115013.98,major_purchase,7.22,3,843,96.64,45,Fully Paid
20118,60 months,11.56,B,5 years,OTHER,70747.93,home_improvement,27.15,0,821,59.79,10,Fully Paid
36773,36 months,22.6,D,8 years,OWN,52444.3,other,19.41,3,816,61.33,45,Charged Off
2899,36 months,9.43,G,2 years,MORTGAGE,135611.07,small_business,1.61,1,665,98.27,26,Fully Paid
2267,36 months,16.61,C,6 years,OWN,57007.4,other,20.22,2,844,83.35,29,Charged Off
32551,60 months,5.5,G,7 years,OTHER,197229.99,debt_consolidation,24.6,2,754,36.27,12,Charged Off
12394,60 months,8.52,B,5 years,OTHER,176476.02,major_purchase,8.22,2,673,4.18,43,Fully Paid
4556,60 months,21.97,F,2 years,RENT,43788.43,major_purchase,11.49,0,728,22.24,44,Fully Paid
4890,36 months,23.69,F,< 1 year,OTHER,174647.46,other,5.93,4,849,35.15,35,Fully Paid
31740,36 months,7.88,B,2 years,OWN,82107.7,major_purchase,19.0,1,745,96.03,8,Fully Paid
15502,60 months,10.69,F,10+ years,OWN,108196.73,major_purchase,19.93,0,710,88.87,22,Fully Paid
22777,60 months,7.47,D,5 years,OWN,45708.37,home_improvement,2.06,0,672,2.15,39,Fully Paid
11627,60 months,15.84,C,10+ years,MORTGAGE,41343.0,home_improvement,20.33,4,735,98.72,40,Fully Paid
9792,60 months,8.15,B,3 years,RENT,175788.73,other,19.75,3,764,25.71,21,Charged Off
9433,36 months,15.93,D,< 1 year,MORTGAGE,133382.4,small_business,1.05,3,791,77.54,47,Fully Paid
12016,36 months,23.3,C,5 years,OWN,102882.98,other,16.66,2,697,11.66,38,Fully Paid
24897,36 months,22.08,C,< 1 year,MORTGAGE,26509.49,other,18.42,0,791,22.03,44,Fully Paid
3612,60 months,12.01,D,7 years,RENT,185953.16,debt_consolidation,12.9,4,817,50.54,24,Fully Paid
24483,36 months,21.84,C,2 years,RENT,87695.88,other,27.04,4,713,70.36,34,Fully Paid
18159,60 months,28.19,E,2 years,RENT,94996.85,other,9.85,3,724,34.54,14,Charged Off
15541,60 months,13.69,B,< 1 year,RENT,72165.72,debt_consolidation,2.02,4,848,87.33,40,Fully Paid
36920,60 months,13.23,B,2 years,OWN,180432.2,home_improvement,20.16,3,836,94.02,42,Fully Paid
27531,36 months,19.29,C,6 years,OTHER,82025.26,small_business,18.16,3,818,12.26,49,Fully Paid
2585,36 months,11.14,D,9 years,OWN,51364.88,credit_card,29.67,0,829,71.86,36,Fully Paid
4943,60 months,21.29,A,7 years,OWN,110100.3,other,6.94,1,837,13.19,22,Fully Paid
24939,36 months,25.81,F,10+ years,OWN,160668.68,other,11.86,2,682,34.08,37,Fully Paid
20457,60 months,16.48,C,7 years,OWN,86840.93,other,13.84,1,719,81.96,19,Fully Paid
2021,60 months,21.99,A,2 years,MORTGAGE,137368.31,major_purchase,25.85,4,819,33.64,48,Charged Off
12653,60 months,21.3,C,4 years,RENT,74760.37,other,12.44,1,843,90.74,48,Charged Off
14417,36 months,5.97,A,< 1 year,OTHER,149557.22,debt_consolidation,23.16,1,715,41.15,39,Fully Paid
10692,36 months,9.59,C,8 years,OTHER,140370.3,major_purchase,4.71,3,759,30.98,28,Charged Off
7873,60 months,27.34,D,7 years,OTHER,142535.86,debt_consolidation,12.29,0,746,98.91,35,Charged Off
6675,36 months,28.47,F,9 years,OWN,136263.38,other,4.65,4,693,44.15,36,Charged Off
1161,36 months,24.51,G,1 year,RENT,48136.22,credit_card,28.49,2,828,74.1,37,Fully Paid
38065,36 months,28.03,G,9 years,RENT,179838.38,other,5.33,3,698,59.95,44,Fully Paid
27557,36 months,12.65,A,< 1 year,OTHER,125435.49,debt_consolidation,12.57,2,701,20.25,48,Fully Paid
34763,60 months,11.19,E,3 years,OTHER,88829.67,other,2.47,0,725,50.03,47,Fully Paid
33606,36 months,14.61,D,8 years,OWN,51020.35,credit_card,27.64,1,807,7.74,46,Fully Paid
12534,60 months,6.38,F,7 years,OTHER,161044.6,debt_consolidation,18.71,1,673,70.87,40,Charged Off
30127,60 months,25.25,C,2 years,OWN,111628.69,home_improvement,28.87,0,825,51.89,15,Fully Paid
26851,36 months,29.6,A,9 years,OTHER,46512.75,major_purchase,1.27,4,696,12.24,36,Fully Paid
2016,60 months,25.6,F,5 years,RENT,185855.75,small_business,5.25,3,696,76.68,7,Fully Paid
25253,60 months,18.87,B,8 years,RENT,39094.84,small_business,11.4,1,775,80.46,12,Charged Off
25276,36 months,12.38,D,9 years,RENT,114359.82,debt_consolidation,18.64,0,671,73.38,37,Fully Paid
24247,60 months,9.94,A,7 years,MORTGAGE,129904.65,small_business,9.89,3,843,32.91,43,Fully Paid
25300,60 months,14.1,D,9 years,OTHER,199817.23,other,21.36,3,795,72.32,23,Fully Paid
9529,36 months,21.67,A,4 years,MORTGAGE,45364.83,major_purchase,4.95,0,808,57.77,39,Fully Paid
18262,36 months,16.18,G,8 years,RENT,130440.84,home_improvement,18.02,1,826,54.39,45,Charged Off
10268,36 months,28.35,B,8 years,OTHER,105808.84,home_improvement,11.94,4,835,64.87,49,Fully Paid
22271,36 months,26.36,E,2 years,MORTGAGE,66280.63,credit_card,15.25,1,805,63.01,12,Fully Paid
13185,36 months,7.56,B,7 years,RENT,189597.83,small_business,17.09,1,771,79.91,30,Fully Paid
22243,60 months,8.29,C,3 years,RENT,162351.86,other,1.8,1,722,98.6,23,Fully Paid
9571,60 months,21.91,D,9 years,OTHER,159870.4,major_purchase,27.72,1,796,72.63,48,Fully Paid
39044,36 months,10.77,E,6 years,OTHER,181853.49,small_business,23.58,2,746,44.18,13,Charged Off
3568,36 months,24.78,D,9 years,OWN,150507.93,major_purchase,13.27,0,689,46.17,42,Fully Paid
3027,60 months,19.78,F,7 years,OTHER,111213.1,credit_card,16.42,4,745,2.93,39,Fully Paid
3695,36 months,10.75,A,6 years,RENT,90476.57,other,0.98,4,718,15.99,11,Fully Paid
6258,36 months,16.97,C,4 years,OWN,146744.03,small_business,14.94,2,714,22.82,8,Fully Paid
23002,60 months,15.15,C,10+ years,OWN,128506.12,home_improvement,12.79,4,709,99.03,10,Fully Paid
34159,60 months,26.83,D,< 1 year,OTHER,117717.77,credit_card,11.23,2,848,76.31,38,Fully Paid
14986,60 months,5.8,G,7 years,RENT,126030.29,other,24.46,2,822,14.15,20,Fully Paid
13666,36 months,27.4,C,4 years,MORTGAGE,137962.57,small_business,5.46,4,801,49.84,14,Fully Paid
39660,60 months,21.3,D,2 years,RENT,194366.75,home_improvement,5.29,4,705,21.35,40,Charged Off
4561,36 months,23.44,A,1 year,RENT,155568.45,home_improvement,15.65,1,694,29.76,18,Fully Paid
27854,60 months,5.07,A,2 years,OTHER,51757.88,major_purchase,20.61,2,757,60.46,11,Charged Off
39952,36 months,20.71,D,8 years,MORTGAGE,104018.38,home_improvement,0.67,3,761,59.9,6,Fully Paid
23662,36 months,19.71,B,1 year,OWN,142083.5,debt_consolidation,16.38,0,701,87.18,35,Fully Paid
9392,36 months,18.43,B,9 years,MORTGAGE,51617.71,small_business,8.96,1,840,16.46,33,Charged Off
31535,60 months,24.65,A,< 1 year,OTHER,187887.18,small_business,22.71,2,678,49.74,21,Fully Paid
14067,60 months,18.9,E,1 year,RENT,33864.55,major_purchase,14.07,1,832,59.88,20,Fully Paid
24599,60 months,26.43,B,1 year,RENT,129976.98,home_improvement,25.02,1,713,93.05,11,Fully Paid
36222,36 months,10.82,D,10+ years,MORTGAGE,195668.36,major_purchase,11.91,0,828,51.64,19,Fully Paid
12837,60 months,25.15,A,4 years,MORTGAGE,151016.29,debt_consolidation,24.81,4,804,34.07,32,Fully Paid
15039,60 months,9.48,C,< 1 year,OTHER,141906.47,major_purchase,21.5,4,670,29.21,10,Charged Off
31818,36 months,25.33,C,9 years,MORTGAGE,199535.67,small_business,24.85,0,786,21.61,49,Fully Paid
20115,36 months,28.51,G,7 years,OTHER,162523.54,other,24.37,1,768,96.24,10,Fully Paid
11965,60 months,13.39,B,1 year,OWN,194652.82,other,14.59,2,751,60.29,31,Fully Paid
25538,60 months,18.25,E,5 years,MORTGAGE,145800.6,major_purchase,11.04,4,790,30.35,38,Charged Off
6056,60 months,21.46,F,4 years,RENT,139782.58,small_business,22.95,3,797,74.51,18,Fully Paid
33482,36 months,6.99,B,1 year,MORTGAGE,157262.15,credit_card,10.85,2,683,28.93,45,Fully Paid
9110,60 months,17.35,E,9 years,RENT,53975.72,debt_consolidation,2.68,1,715,50.38,21,Charged Off
14773,36 months,14.01,B,< 1 year,OWN,165041.3,debt_consolidation,25.77,3,782,2.6,14,Fully Paid
28266,36 months,26.81,C,5 years,OWN,194625.26,small_business,11.92,2,685,84.66,6,Fully Paid
18412,60 months,26.92,E,5 years,MORTGAGE,130095.79,other,3.98,0,728,95.66,18,Fully Paid
34270,60 months,22.52,C,2 years,OTHER,22223.96,credit_card,19.39,3,811,86.58,25,Fully Paid
7910,36 months,21.39,G,7 years,RENT,32976.63,home_improvement,26.69,1,831,17.11,39,Fully Paid
26446,36 months,23.34,D,8 years,OWN,62247.3,major_purchase,25.83,3,813,82.53,32,Fully Paid
1206,60 months,14.15,D,2 years,MORTGAGE,108397.58,home_improvement,16.63,0,730,34.7,40,Fully Paid
22518,60 months,15.11,A,8 years,OWN,94476.05,credit_card,2.64,4,735,93.63,45,Fully Paid
23361,60 months,18.84,C,7 years,MORTGAGE,196258.16,debt_consolidation,20.9,4,844,29.91,49,Charged Off
24419,36 months,28.45,C,4 years,RENT,190205.78,home_improvement,18.26,4,695,8.94,24,Fully Paid
23403,36 months,23.1,G,5 years,MORTGAGE,90690.05,credit_card,6.3,0,676,85.29,11,Fully Paid
19141,60 months,18.77,A,< 1 year,RENT,162976.97,debt_consolidation,27.02,2,677,11.66,26,Fully Paid
15820,36 months,24.26,D,4 years,OWN,134545.4,other,2.6,0,755,54.14,49,Fully Paid
7374,36 months,14.27,D,9 years,RENT,63764.42,home_improvement,11.19,3,725,37.59,32,Fully Paid
2678,60 months,23.26,E,9 years,RENT,187611.91,other,2.84,2,772,75.69,24,Fully Paid
34827,36 months,15.27,E,6 years,OTHER,66713.16,debt_consolidation,27.36,4,797,74.89,36,Fully Paid
17198,60 months,11.99,F,< 1 year,OWN,176661.81,small_business,1.06,0,848,77.61,23,Fully Paid
10914,60 months,20.24,G,9 years,RENT,134775.33,debt_consolidation,12.77,1,698,6.33,32,Fully Paid
28890,36 months,22.17,D,8 years,OTHER,131802.88,debt_consolidation,25.85,4,801,85.84,29,Fully Paid
23299,36 months,16.48,F,6 years,OTHER,170913.8,credit_card,7.54,1,775,46.63,26,Fully Paid
3693,60 months,19.14,B,3 years,RENT,108975.84,credit_card,3.15,2,834,21.92,6,Fully Paid
30467,36 months,22.35,C,10+ years,MORTGAGE,173607.31,major_purchase,3.81,4,797,29.89,25,Charged Off
30723,60 months,24.19,E,3 years,RENT,119041.12,credit_card,12.15,0,714,90.27,10,Charged Off
4627,36 months,27.39,B,10+ years,MORTGAGE,197236.62,small_business,12.86,1,811,0.6,37,Charged Off
26939,36 months,13.86,E,9 years,RENT,138787.41,small_business,21.54,0,785,80.17,46,Fully Paid
22834,36 months,28.79,A,6 years,OWN,87330.9,other,7.14,4,699,92.39,7,Fully Paid
19047,60 months,20.93,C,5 years,OTHER,157405.52,debt_consolidation,21.06,0,821,25.01,28,Fully Paid
27105,36 months,24.69,F,2 years,RENT,111781.51,credit_card,29.97,4,783,82.2,16,Fully Paid
11230,60 months,22.49,F,8 years,RENT,165084.5,major_purchase,25.93,3,836,16.11,9,Fully Paid
16707,60 months,10.14,E,5 years,RENT,170023.28,credit_card,19.07,0,722,1.62,26,Fully Paid
22976,60 months,6.79,D,10+ years,MORTGAGE,131044.37,major_purchase,28.2,3,764,60.46,24,Fully Paid
24776,36 months,23.16,G,1 year,OWN,176993.92,debt_consolidation,29.73,1,668,64.62,37,Fully Paid
31080,60 months,17.78,F,9 years,OWN,92616.86,other,17.11,0,834,15.01,8,Fully Paid
2306,60 months,22.56,A,1 year,RENT,30327.86,other,8.21,0,832,51.25,30,Charged Off
7776,36 months,16.92,A,< 1 year,OTHER,139276.67,small_business,27.45,1,823,38.55,20,Charged Off
28251,60 months,12.81,D,10+ years,OTHER,157601.33,credit_card,25.33,0,796,7.63,24,Fully Paid
10474,60 months,12.13,A,4 years,RENT,33104.27,credit_card,2.54,4,798,50.77,40,Charged Off
22959,36 months,23.26,G,9 years,MORTGAGE,158763.75,small_business,28.09,3,744,58.51,23,Fully Paid
6530,60 months,11.92,C,5 years,OTHER,135049.11,small_business,10.99,2,772,21.72,35,Fully Paid
30320,36 months,22.87,E,2 years,OWN,40954.02,other,9.66,4,683,73.98,48,Charged Off
4748,60 months,14.6,A,3 years,OTHER,117189.22,other,10.3,2,660,7.26,7,Fully Paid
32968,60 months,24.27,C,4 years,OTHER,39573.58,other,9.6,1,720,55.1,19,Fully Paid
33562,36 months,8.57,D,3 years,RENT,77891.37,home_improvement,15.48,1,744,30.34,15,Fully Paid
14545,60 months,10.12,E,8 years,OTHER,164717.29,home_improvement,17.39,0,680,43.61,20,Fully Paid
1663,60 months,22.15,D,2 years,RENT,38142.03,home_improvement,12.77,4,663,89.35,43,Fully Paid
35766,60 months,19.01,E,4 years,OWN,102689.81,small_business,12.38,2,759,67.0,45,Fully Paid
8994,36 months,10.1,G,6 years,OTHER,129028.34,home_improvement,22.12,3,717,14.89,47,Fully Paid
29021,36 months,27.57,A,6 years,RENT,189292.06,credit_card,0.09,4,794,88.63,5,Fully Paid
31303,36 months,11.9,A,5 years,RENT,152707.79,small_business,28.41,1,788,37.28,36,Fully Paid
4304,36 months,15.53,E,8 years,OWN,45064.49,credit_card,21.43,4,736,34.13,12,Fully Paid
18675,36 months,10.06,C,6 years,OTHER,194396.34,small_business,21.22,3,782,50.15,23,Charged Off
24938,60 months,14.7,C,10+ years,MORTGAGE,106032.38,debt_consolidation,12.66,4,795,20.53,30,Fully Paid
24664,36 months,17.29,C,3 years,OTHER,86549.13,credit_card,28.97,0,776,91.42,45,Fully Paid
2636,36 months,12.38,B,10+ years,RENT,43168.02,small_business,0.01,3,719,46.79,25,Fully Paid
21080,36 months,24.23,F,9 years,RENT,188026.81,major_purchase,2.29,2,821,39.38,26,Fully Paid
28728,60 months,14.85,F,8 years,OWN,125517.07,small_business,24.12,1,745,17.1,15,Fully Paid
27736,60 months,23.24,F,5 years,OWN,197837.75,debt_consolidation,22.16,4,773,80.27,11,Fully Paid
29673,36 months,10.18,C,< 1 year,MORTGAGE,51295.86,small_business,8.14,3,668,95.28,10,Fully Paid
38505,60 months,14.43,A,8 years,MORTGAGE,118250.4,debt_consolidation,17.84,0,732,86.96,29,Fully Paid
1854,60 months,5.2,G,10+ years,RENT,39779.52,home_improvement,15.96,0,787,16.15,36,Fully Paid
25548,60 months,23.97,B,6 years,MORTGAGE,114369.65,credit_card,15.81,2,832,75.16,37,Charged Off
39623,60 months,20.65,C,5 years,MORTGAGE,180162.53,debt_consolidation,17.87,1,741,20.42,35,Fully Paid
8392,36 months,25.45,A,5 years,MORTGAGE,39677.75,major_purchase,29.81,0,676,3.88,20,Fully Paid
22556,36 months,16.39,B,3 years,OTHER,68536.79,credit_card,29.62,1,666,48.45,40,Charged Off
39559,60 months,24.99,A,3 years,OTHER,142832.34,small_business,29.45,3,762,67.04,21,Fully Paid
27309,60 months,21.19,E,10+ years,RENT,33731.67,small_business,16.46,4,710,12.43,49,Fully Paid
22919,60 months,5.09,A,2 years,OTHER,101717.29,debt_consolidation,9.54,2,803,60.55,30,Fully Paid
5931,60 months,11.34,B,7 years,MORTGAGE,79951.09,major_purchase,16.8,0,844,84.36,27,Fully Paid
33970,36 months,17.35,C,7 years,MORTGAGE,170866.67,debt_consolidation,18.68,4,751,20.9,40,Fully Paid
13688,60 months,20.47,F,1 year,MORTGAGE,28833.68,major_purchase,9.34,0,684,42.78,49,Fully Paid
26342,36 months,6.64,B,4 years,OTHER,175411.18,other,18.98,2,681,49.88,15,Fully Paid
38157,60 months,22.63,C,8 years,OWN,146653.77,debt_consolidation,18.66,0,842,83.12,46,Fully Paid
3327,36 months,18.59,C,8 years,MORTGAGE,73494.29,home_improvement,27.1,2,693,77.14,34,Charged Off
1197,60 months,18.14,G,6 years,MORTGAGE,55598.34,home_improvement,7.13,4,802,76.93,29,Fully Paid
24509,36 months,12.3,D,3 years,OWN,191031.74,home_improvement,20.93,3,675,67.9,38,Fully Paid
35698,36 months,19.87,G,3 years,OWN,119703.44,debt_consolidation,13.52,2,675,61.78,48,Fully Paid
16087,36 months,5.69,E,9 years,RENT,82059.97,credit_card,3.9,3,697,50.89,25,Fully Paid
23671,60 months,6.62,D,10+ years,RENT,28004.33,small_business,9.49,1,745,36.96,6,Fully Paid
26184,36 months,23.35,F,6 years,OTHER,49841.17,credit_card,1.72,4,752,51.32,7,Charged Off
28848,60 months,13.05,B,2 years,OWN,127669.7,small_business,9.58,2,819,85.37,9,Fully Paid
21666,36 months,13.67,D,2 years,RENT,112359.73,major_purchase,2.07,4,830,57.06,49,Fully Paid
16708,36 months,10.21,F,4 years,MORTGAGE,156369.82,home_improvement,27.76,3,747,98.56,6,Fully Paid
27370,60 months,16.14,C,10+ years,RENT,170270.76,home_improvement,3.05,3,764,14.25,35,Fully Paid
3811,36 months,6.3,B,5 years,MORTGAGE,91491.46,small_business,24.52,4,709,44.12,27,Fully Paid
7546,60 months,12.51,D,7 years,MORTGAGE,38167.38,home_improvement,27.18,4,844,20.03,18,Fully Paid
35754,60 months,18.18,A,< 1 year,MORTGAGE,162475.36,credit_card,14.03,3,697,36.51,22,Fully Paid
31206,60 months,16.64,F,6 years,OTHER,119673.22,debt_consolidation,1.62,4,682,78.98,15,Charged Off
12411,60 months,29.99,F,7 years,OWN,196362.54,home_improvement,17.87,3,748,82.48,19,Charged Off
3911,36 months,14.72,E,4 years,OTHER,163342.98,other,7.04,1,695,3.17,25,Fully Paid
2734,36 months,14.67,A,9 years,RENT,79233.09,home_improvement,5.3,3,837,95.34,9,Fully Paid
19227,60 months,17.59,B,1 year,RENT,97128.22,other,17.0,0,757,87.19,7,Fully Paid
9680,36 months,9.76,D,3 years,OWN,62403.68,major_purchase,10.69,3,800,90.5,22,Fully Paid
20360,36 months,26.91,C,5 years,OWN,112159.73,debt_consolidation,21.91,1,756,37.68,12,Fully Paid
19343,60 months,19.31,D,8 years,RENT,147930.49,small_business,17.74,3,764,49.7,42,Charged Off
6759,36 months,9.8,G,1 year,OWN,130247.98,debt_consolidation,24.88,4,769,16.85,30,Fully Paid
24078,60 months,24.84,B,3 years,OWN,81575.02,debt_consolidation,1.75,1,791,39.68,36,Fully Paid
36153,36 months,5.86,B,9 years,MORTGAGE,168193.98,small_business,7.05,2,776,12.61,17,Fully Paid
12111,36 months,29.56,B,4 years,OTHER,38910.58,debt_consolidation,17.01,3,695,86.33,14,Fully Paid
38504,60 months,26.63,B,7 years,OTHER,45659.84,major_purchase,26.41,4,785,58.11,5,Fully Paid
2802,36 months,19.49,G,7 years,OTHER,92748.72,other,24.4,2,713,13.6,46,Fully Paid
9155,36 months,7.78,F,1 year,MORTGAGE,146403.8,credit_card,20.39,2,738,87.91,15,Fully Paid
9120,60 months,10.38,D,5 years,MORTGAGE,144953.42,debt_consolidation,17.22,2,719,8.04,9,Fully Paid
22918,36 months,11.99,A,5 years,OWN,85974.22,credit_card,18.94,0,801,92.69,5,Fully Paid
21445,60 months,11.03,C,4 years,OWN,145389.42,major_purchase,6.41,4,786,10.57,5,Fully Paid
31306,36 months,17.44,C,7 years,MORTGAGE,30905.44,major_purchase,17.86,0,719,71.8,23,Charged Off
17646,60 months,28.61,E,9 years,MORTGAGE,72203.95,debt_consolidation,14.81,4,719,64.53,9,Fully Paid
32065,60 months,16.1,F,1 year,RENT,144879.2,home_improvement,11.53,4,681,78.27,16,Fully Paid
26199,60 months,21.54,B,1 year,MORTGAGE,53127.45,debt_consolidation,26.63,1,724,56.48,32,Charged Off
17371,60 months,22.21,B,6 years,MORTGAGE,58288.17,credit_card,24.88,2,818,34.99,41,Fully Paid
12835,60 months,26.79,B,8 years,OTHER,35638.87,major_purchase,2.3,3,778,27.44,27,Fully Paid
3049,36 months,5.85,F,2 years,RENT,85604.78,credit_card,29.57,1,770,94.55,9,Charged Off
32616,36 months,15.11,A,6 years,OTHER,168486.9,credit_card,6.9,3,761,44.13,27,Fully Paid
39191,60 months,24.62,B,2 years,OTHER,170544.64,small_business,6.46,2,809,84.22,28,Fully Paid
21932,36 months,25.37,E,5 years,RENT,175225.26,major_purchase,28.31,4,784,72.31,21,Fully Paid
30855,60 months,28.18,E,2 years,RENT,26606.73,major_purchase,13.34,1,745,65.61,8,Charged Off
8158,36 months,22.57,A,< 1 year,RENT,198827.97,credit_card,24.16,0,663,97.06,21,Charged Off
8400,36 months,11.13,F,5 years,OWN,110475.42,other,8.65,4,773,56.54,34,Charged Off
16151,60 months,17.64,B,10+ years,RENT,177090.87,major_purchase,26.2,0,763,73.3,48,Fully Paid
2154,60 months,5.81,G,2 years,OTHER,182920.63,other,24.97,4,666,84.97,29,Charged Off
5499,36 months,21.17,D,< 1 year,RENT,112609.68,other,15.58,4,814,4.6,21,Fully Paid
7295,36 months,18.86,D,4 years,OWN,29196.16,debt_consolidation,21.15,2,832,99.63,18,Fully Paid
13183,60 months,21.67,C,7 years,OTHER,127544.56,small_business,28.92,1,758,26.22,27,Charged Off
30299,36 months,28.25,A,7 years,RENT,80136.82,debt_consolidation,13.56,3,848,70.25,28,Charged Off
13874,36 months,22.18,D,7 years,RENT,57218.0,home_improvement,14.83,2,761,95.36,21,Fully Paid
33711,60 months,13.01,C,2 years,OTHER,52850.18,home_improvement,21.68,3,826,76.31,21,Charged Off
6539,36 months,9.97,E,7 years,OTHER,120667.56,other,11.59,4,752,22.96,18,Fully Paid
3557,60 months,26.37,C,3 years,RENT,38805.47,credit_card,28.84,0,664,36.23,19,Fully Paid
39360,60 months,9.86,B,7 years,OWN,167896.02,other,1.21,3,741,41.42,23,Fully Paid
17482,60 months,9.04,B,2 years,OTHER,60912.8,home_improvement,12.1,0,749,58.63,9,Fully Paid
3200,36 months,10.17,E,2 years,MORTGAGE,118872.35,debt_consolidation,21.42,3,714,60.29,21,Charged Off
3961,36 months,17.72,A,< 1 year,RENT,42582.84,home_improvement,12.88,0,661,78.79,37,Fully Paid
22357,60 months,8.1,F,7 years,OTHER,174733.26,credit_card,7.78,2,754,85.97,43,Fully Paid
12969,60 months,28.45,B,7 years,OTHER,144575.73,major_purchase,12.4,3,812,8.95,10,Fully Paid
3869,36 months,29.16,B,8 years,RENT,57173.94,small_business,26.45,2,748,27.32,29,Fully Paid
29643,36 months,29.35,C,5 years,RENT,148833.34,credit_card,16.41,2,819,34.37,21,Charged Off
25736,36 months,5.98,C,1 year,RENT,34922.02,credit_card,10.05,0,845,1.34,37,Fully Paid
39467,60 months,28.65,C,< 1 year,OWN,158999.0,credit_card,20.15,3,681,41.76,15,Fully Paid
24328,60 months,29.94,D,7 years,MORTGAGE,108262.42,debt_consolidation,18.36,3,839,35.88,37,Fully Paid
26876,36 months,28.56,G,9 years,OTHER,41633.06,major_purchase,16.81,1,848,52.54,32,Fully Paid
22295,36 months,21.77,E,3 years,RENT,119086.09,credit_card,11.73,0,680,10.02,46,Charged Off
4987,36 months,22.53,A,10+ years,RENT,56155.93,major_purchase,2.17,3,849,41.4,45,Fully Paid
23399,60 months,8.06,C,10+ years,OWN,141099.08,other,18.62,4,674,59.74,9,Charged Off
34986,60 months,26.86,A,6 years,MORTGAGE,147551.53,credit_card,12.59,1,670,80.38,25,Fully Paid
21880,36 months,6.49,G,9 years,OTHER,156951.21,debt_consolidation,12.86,3,705,76.65,34,Fully Paid
5735,36 months,12.94,C,3 years,MORTGAGE,181076.69,credit_card,7.02,0,730,40.49,30,Fully Paid
5555,60 months,29.78,B,< 1 year,MORTGAGE,137889.12,other,7.48,4,786,38.95,7,Fully Paid
20830,60 months,15.56,G,7 years,RENT,108518.44,home_improvement,23.62,3,817,3.75,25,Fully Paid
18429,36 months,8.28,A,9 years,RENT,173760.61,debt_consolidation,14.38,2,801,8.26,16,Fully Paid
7893,36 months,29.23,D,8 years,RENT,181971.93,credit_card,3.28,2,699,87.24,11,Fully Paid
15373,36 months,29.6,C,9 years,OWN,160715.61,credit_card,1.38,4,778,80.59,30,Fully Paid
4436,60 months,9.68,F,8 years,OWN,189637.07,credit_card,6.74,4,729,2.11,48,Fully Paid
9754,36 months,26.62,E,8 years,OWN,196298.11,home_improvement,14.62,4,837,88.27,43,Fully Paid
11677,60 months,14.76,B,10+ years,RENT,65236.12,home_improvement,18.52,4,705,61.39,17,Charged Off
6895,60 months,14.53,G,10+ years,RENT,53065.05,credit_card,4.31,0,731,80.19,18,Fully Paid
20738,36 months,11.57,G,3 years,RENT,100746.63,home_improvement,13.02,2,695,50.25,29,Fully Paid
